====== GENOTYPE MATCHING MODE (GA4GH Method 3) ======
ID	True-Pos-Called		True-Pos-Baseline	False-Pos	False-Neg	Precision	Recall	F-measure
1	6840	6968	649	660	0.9133	0.9135	0.9134
2	4629	4705	399	399	0.9206	0.9218	0.9212
3	3627	3683	275	259	0.9295	0.9343	0.9319
4	2259	2295	221	136	0.9109	0.9441	0.9272
5	2487	2517	237	210	0.913	0.923	0.918
6	3717	3934	504	495	0.8806	0.8882	0.8844
7	2638	2681	327	207	0.8897	0.9283	0.9086
8	2200	2247	192	259	0.9197	0.8966	0.908
9	2602	2633	288	203	0.9003	0.9284	0.9142
10	2960	3023	249	243	0.9224	0.9256	0.924
11	3636	3705	363	332	0.9092	0.9178	0.9135
12	2887	2936	308	254	0.9036	0.9204	0.9119
13	1047	1076	113	114	0.9026	0.9042	0.9034
14	2083	2148	197	176	0.9136	0.9243	0.9189
15	2764	2805	264	300	0.9128	0.9034	0.9081
16	2752	2806	345	310	0.8886	0.9005	0.8945
17	2946	2995	361	243	0.8908	0.925	0.9076
18	1163	1183	84	107	0.9326	0.9171	0.9248
19	4245	4347	513	321	0.8922	0.9312	0.9113
20	1727	1756	119	173	0.9355	0.9103	0.9228
21	930	950	74	100	0.9263	0.9048	0.9154
22	1895	1926	181	114	0.9128	0.9441	0.9282
X	1038	1055	205	117	0.8351	0.9002	0.8664
Y	13	13	14	2	0.4815	0.8667	0.619
MT	11	11	4	1	0.7333	0.9167	0.8148
TOTAL	63096	64398	6486	5735	0.9068	0.9182	0.9125
